,global,k1,k2,k5,k10,k25,k50,k100,k200,k2500
global,1.0000,0.7502,0.8412,0.8569,0.9483,0.9645,0.9741,0.9763,0.9672,0.9714
k1,0.7502,1.0000,0.8483,0.7643,0.7736,0.7387,0.7397,0.7297,0.7324,0.7273
k2,0.8412,0.8483,1.0000,0.8783,0.8666,0.8369,0.8448,0.8261,0.8281,0.8305
k5,0.8569,0.7643,0.8783,1.0000,0.8487,0.8832,0.8646,0.8530,0.8370,0.8532
k10,0.9483,0.7736,0.8666,0.8487,1.0000,0.9474,0.9419,0.9510,0.9343,0.9334
k25,0.9645,0.7387,0.8369,0.8832,0.9474,1.0000,0.9672,0.9665,0.9520,0.9624
k50,0.9741,0.7397,0.8448,0.8646,0.9419,0.9672,1.0000,0.9738,0.9709,0.9754
k100,0.9763,0.7297,0.8261,0.8530,0.9510,0.9665,0.9738,1.0000,0.9692,0.9749
k200,0.9672,0.7324,0.8281,0.8370,0.9343,0.9520,0.9709,0.9692,1.0000,0.9724
k2500,0.9714,0.7273,0.8305,0.8532,0.9334,0.9624,0.9754,0.9749,0.9724,1.0000
