layer,head,count
28,18,20
30,18,20
29,18,19
2,15,14
31,5,14
2,20,12
29,12,12
3,28,10
10,6,10
7,14,9
14,26,9
31,10,9
8,5,8
9,22,8
0,11,7
1,15,7
2,28,7
4,14,7
5,14,7
8,11,7
9,20,7
14,11,7
0,22,6
1,26,6
3,16,6
5,15,6
6,3,6
15,8,6
16,15,6
29,5,6
0,14,5
1,13,5
1,25,5
1,30,5
2,16,5
3,20,5
5,16,5
6,8,5
6,20,5
8,8,5
8,14,5
9,12,5
9,28,5
10,15,5
10,22,5
11,10,5
12,11,5
12,24,5
15,6,5
16,5,5
30,15,5
31,1,5
1,20,4
1,31,4
2,11,4
3,25,4
4,23,4
5,8,4
5,11,4
5,20,4
5,23,4
6,23,4
7,20,4
8,30,4
12,5,4
12,10,4
12,26,4
12,28,4
13,16,4
14,16,4
15,26,4
16,19,4
17,18,4
30,14,4
31,13,4
0,2,3
1,29,3
2,4,3
2,30,3
3,30,3
4,0,3
4,20,3
4,26,3
4,27,3
5,25,3
7,11,3
8,20,3
9,11,3
10,2,3
10,13,3
10,26,3
10,28,3
11,3,3
11,30,3
12,15,3
14,18,3
14,28,3
15,0,3
16,11,3
17,1,3
24,11,3
24,30,3
26,11,3
29,15,3
30,6,3
30,17,3
31,29,3
0,17,2
0,18,2
0,25,2
0,30,2
1,17,2
1,28,2
2,13,2
3,0,2
3,6,2
3,8,2
4,2,2
4,10,2
4,11,2
4,15,2
4,28,2
5,3,2
5,27,2
5,28,2
5,29,2
6,14,2
6,19,2
6,28,2
7,3,2
7,5,2
7,17,2
7,23,2
7,28,2
8,15,2
8,18,2
8,19,2
9,7,2
9,14,2
9,19,2
9,26,2
10,29,2
11,7,2
11,18,2
11,27,2
12,0,2
12,6,2
14,5,2
14,8,2
15,3,2
15,4,2
15,10,2
15,16,2
15,30,2
16,10,2
16,16,2
16,17,2
16,28,2
17,12,2
24,3,2
28,13,2
28,14,2
30,0,2
30,16,2
0,1,1
0,28,1
0,31,1
1,16,1
1,27,1
2,1,1
2,12,1
2,14,1
2,18,1
2,27,1
2,29,1
2,31,1
3,11,1
3,12,1
3,14,1
3,15,1
3,17,1
4,4,1
4,13,1
4,16,1
4,22,1
4,25,1
4,29,1
5,0,1
5,4,1
5,10,1
5,21,1
5,31,1
6,13,1
6,17,1
6,26,1
7,12,1
7,13,1
7,15,1
7,19,1
7,22,1
7,25,1
7,26,1
8,3,1
8,4,1
8,16,1
8,25,1
8,26,1
8,31,1
9,4,1
9,13,1
9,15,1
9,23,1
10,3,1
10,11,1
10,14,1
10,23,1
10,24,1
10,25,1
11,4,1
11,6,1
11,11,1
11,15,1
11,20,1
11,21,1
11,23,1
11,25,1
11,28,1
12,8,1
12,12,1
12,14,1
12,16,1
12,20,1
12,25,1
13,14,1
14,2,1
14,17,1
14,24,1
14,27,1
15,1,1
15,9,1
15,15,1
15,27,1
16,3,1
16,18,1
17,24,1
18,8,1
18,11,1
18,30,1
19,5,1
20,12,1
20,30,1
21,3,1
21,5,1
21,10,1
21,13,1
21,15,1
22,13,1
22,19,1
24,19,1
25,1,1
25,2,1
25,16,1
25,21,1
25,27,1
26,14,1
26,16,1
27,30,1
28,3,1
28,25,1
30,13,1
30,19,1
30,23,1
30,25,1
31,18,1
