,user_14,user_44,user_20,user_37,user_48,user_40,user_09,user_12,user_07,user_21,user_13,user_46,user_19,user_34,user_42,user_01,user_47,user_31,user_39,user_00
user_14,1.0000,0.1429,0.1429,0.1429,0.1429,0.1765,0.2903,0.0959,0.1268,0.1765,0.1940,0.1268,0.1429,0.0959,0.1111,0.1429,0.1594,0.1429,0.1940,0.1268
user_44,0.1429,1.0000,0.1429,0.1429,0.1429,0.1429,0.1940,0.1268,0.1429,0.1268,0.1940,0.1111,0.1429,0.1111,0.1594,0.1429,0.1765,0.2308,0.2121,0.1765
user_20,0.1429,0.1429,1.0000,0.0811,0.1429,0.1594,0.1268,0.1594,0.1594,0.1111,0.0959,0.1940,0.1268,0.2308,0.1111,0.1594,0.0959,0.2308,0.1429,0.1940
user_37,0.1429,0.1429,0.0811,1.0000,0.1765,0.1268,0.1268,0.1594,0.1111,0.1111,0.1111,0.1268,0.0959,0.1429,0.1594,0.0811,0.1765,0.1594,0.1765,0.1765
user_48,0.1429,0.1429,0.1429,0.1765,1.0000,0.0811,0.1429,0.1765,0.1429,0.1268,0.1594,0.1594,0.0811,0.1111,0.1765,0.1594,0.1111,0.1940,0.1940,0.1594
user_40,0.1765,0.1429,0.1594,0.1268,0.0811,1.0000,0.0959,0.0959,0.2121,0.1111,0.1111,0.1268,0.1765,0.1111,0.1594,0.1429,0.1594,0.1765,0.1594,0.1429
user_09,0.2903,0.1940,0.1268,0.1268,0.1429,0.0959,1.0000,0.1111,0.1111,0.2500,0.1940,0.1111,0.1429,0.1268,0.0959,0.1429,0.1268,0.1429,0.2500,0.1594
user_12,0.0959,0.1268,0.1594,0.1594,0.1765,0.0959,0.1111,1.0000,0.1594,0.0811,0.1594,0.1940,0.1268,0.1429,0.1268,0.1594,0.0959,0.1429,0.1111,0.1594
user_07,0.1268,0.1429,0.1594,0.1111,0.1429,0.2121,0.1111,0.1594,1.0000,0.0959,0.1111,0.1765,0.1111,0.1268,0.1765,0.1940,0.1429,0.1940,0.1268,0.2500
user_21,0.1765,0.1268,0.1111,0.1111,0.1268,0.1111,0.2500,0.0811,0.0959,1.0000,0.1268,0.0959,0.1268,0.1429,0.1268,0.0811,0.1765,0.0959,0.1940,0.1268
user_13,0.1940,0.1940,0.0959,0.1111,0.1594,0.1111,0.1940,0.1594,0.1111,0.1268,1.0000,0.1429,0.0959,0.1268,0.1111,0.1429,0.1940,0.1429,0.1765,0.1111
user_46,0.1268,0.1111,0.1940,0.1268,0.1594,0.1268,0.1111,0.1940,0.1765,0.0959,0.1429,1.0000,0.0667,0.1429,0.0959,0.1940,0.1268,0.1429,0.1268,0.1940
user_19,0.1429,0.1429,0.1268,0.0959,0.0811,0.1765,0.1429,0.1268,0.1111,0.1268,0.0959,0.0667,1.0000,0.1429,0.1111,0.1429,0.1765,0.1594,0.1429,0.1268
user_34,0.0959,0.1111,0.2308,0.1429,0.1111,0.1111,0.1268,0.1429,0.1268,0.1429,0.1268,0.1429,0.1429,1.0000,0.1111,0.1268,0.1594,0.1594,0.1594,0.1111
user_42,0.1111,0.1594,0.1111,0.1594,0.1765,0.1594,0.0959,0.1268,0.1765,0.1268,0.1111,0.0959,0.1111,0.1111,1.0000,0.1111,0.1594,0.1594,0.1594,0.1765
user_01,0.1429,0.1429,0.1594,0.0811,0.1594,0.1429,0.1429,0.1594,0.1940,0.0811,0.1429,0.1940,0.1429,0.1268,0.1111,1.0000,0.0959,0.1268,0.0811,0.1940
user_47,0.1594,0.1765,0.0959,0.1765,0.1111,0.1594,0.1268,0.0959,0.1429,0.1765,0.1940,0.1268,0.1765,0.1594,0.1594,0.0959,1.0000,0.1594,0.1940,0.1268
user_31,0.1429,0.2308,0.2308,0.1594,0.1940,0.1765,0.1429,0.1429,0.1940,0.0959,0.1429,0.1429,0.1594,0.1594,0.1594,0.1268,0.1594,1.0000,0.2121,0.2121
user_39,0.1940,0.2121,0.1429,0.1765,0.1940,0.1594,0.2500,0.1111,0.1268,0.1940,0.1765,0.1268,0.1429,0.1594,0.1594,0.0811,0.1940,0.2121,1.0000,0.1268
user_00,0.1268,0.1765,0.1940,0.1765,0.1594,0.1429,0.1594,0.1594,0.2500,0.1268,0.1111,0.1940,0.1268,0.1111,0.1765,0.1940,0.1268,0.2121,0.1268,1.0000
